date,wan_dis,wan_b1,sm_dis,sm_b1,gm_dis,gm_b1,ra_dis,ra_b1,wind_dm,wind_b1,wind_dir_dm,wind_dir_b1,par_dm,par_b1,up_dm,up_b1
2018-01-01,71.5,NA,188.15480541116648,NA,128.94566666666668,NA,22.388319502980742,NA,2.756625,NA,77.8425,NA,0.2716330064583333,NA,-81.79954000000001,NA
2018-01-02,69.4,NA,189.59774268874924,NA,125.1584540338761,NA,32.43502085681465,NA,2.406625,NA,84.74458333333334,NA,0.18443283604166666,NA,-45.38061225,NA
2018-01-03,68.6,NA,222.4679080610985,NA,123.71569981227776,NA,65.27480171672056,NA,2.6797083333333336,NA,82.4375,NA,0.1432137775,NA,-32.07241525,NA
2018-01-04,69.6,NA,271.7393888333555,NA,125.51913570971368,NA,78.47570656691848,NA,2.899,2.6143194444444444,126.99791666666667,81.67486111111111,0.091353918625,0.19975987333333334,-77.3802525,-53.08418916666667
2018-01-05,82.4,NA,889.9962079048275,NA,148.60312070054275,NA,612.6883168032921,NA,5.729791666666666,2.661777777777778,164.34583333333333,98.06,0.078138002291666675,0.13966684405555554,-24.1273865,-51.61109333333333
2018-01-06,106,NA,492.5448302053582,NA,191.1642051282051,NA,293.1145058569705,NA,5.239541666666667,3.7695,158.19166666666666,124.59375,0.056418324416666665,0.10423523280555556,-50.581914250000004,-44.52668475
2018-01-07,114,NA,331.6323568739271,NA,205.5916923076923,NA,891.6756573245308,NA,11.281666666666666,4.622777777777777,138.61083333333335,149.8451388888889,0.17478895775,0.07530341511111112,-351.27969,-50.69651775
2018-01-08,120,NA,329.4857670945691,NA,216.4123076923077,NA,1111.717782405562,NA,5.627625,7.417,174.7875,153.7161111111111,0.11175983470833334,0.10311509481944445,5.273723749999999,-141.99633025
2018-01-09,125,NA,301.5924126090541,NA,225.4294871794872,NA,391.4282890228967,NA,2.9840416666666667,7.382944444444444,268.7975,157.19666666666666,0.219832703875,0.11432237229166667,35.27709525,-132.19596016666668
2018-01-10,123,NA,249.09709129176684,NA,221.82261538461535,NA,129.47591306293512,NA,2.8452083333333333,6.631111111111111,87.7225,194.0652777777778,0.2759917625652174,0.16879383211111113,-1.8273968000000003,-103.57629033333333
2018-01-11,115,94.95,216.94234471970395,346.6308510973873,207.3951282051282,171.23623846153848,79.74342250602736,362.86743131196215,6.623958333333333,3.8189583333333332,45.92166666666667,177.1025,0.3000218960416667,0.20252810038285024,-97.85647,12.907807400000001
2018-01-12,108,99.3,207.51740461710423,349.509605028241,194.77107692307692,179.08118461538461,60.45834644412757,368.6029416122668,4.8585,4.1510694444444445,84.14916666666666,134.14722222222224,0.07665711758333334,0.2652821208272947,-33.092358950000005,-21.46892385
2018-01-13,104,103.16,255.65202727032073,351.30157122107653,187.55733333333336,186.0424469043047,140.11952817790277,371.4052741709981,6.526,4.775888888888889,149.52375,72.59777777777778,0.168009046125,0.21755692539673915,-236.6569075,-44.25874191666667
2018-01-14,109,106.7,437.95062131443296,354.6199831419987,196.57451282051284,192.42661025641027,76.51043967155839,378.88974681711636,2.4470833333333335,6.0028194444444445,96.03875000000001,93.19819444444444,0.340673443625,0.18156268658333335,-402.9971625,-122.53524548333333
2018-01-15,126,110.64,559.6526000546951,371.2411063901065,227.2329230769231,199.53214796749018,54.49175572615197,378.69322012758033,5.021416666666667,4.610527777777778,86.6085,109.90388888888889,0.22677379920833332,0.19511320244444447,-290.1162975,-224.24880965
2018-01-16,159,115,859.9681860673201,338.20674560509326,286.7463076923077,207.3951282051282,330.8453292486768,322.8735640198663,9.48625,4.664833333333333,164.68333333333334,110.72366666666667,0.10722469029166666,0.24515209631944446,-206.69774,-309.9234558333333
2018-01-17,199,120.3,828.2865626115467,374.9490811912894,358.88374358974363,216.95333846153846,636.5511755823682,326.64664635903694,11.458708333333334,5.651583333333334,136.11666666666667,115.77686111111112,0.14267027366666668,0.224890644375,-707.58108375,-299.9370666666667
2018-01-18,229,128.8,727.0524328261988,424.6145017650514,412.98682051282054,232.2825435897436,603.2077416191281,301.1341981848207,11.840416666666666,8.655458333333334,149.78333333333333,129.13616666666667,0.3442285786666667,0.15888958772222223,-875.948615,-401.4650404166666
2018-01-19,227,139.7,385.1253650917635,464.3711683382144,409.3799487179488,251.93999487179488,345.9151577120356,250.2831941061773,7.489416666666667,10.928458333333333,121.18208333333334,150.19444444444446,0.082358091,0.198041180875,-90.30209909999999,-596.7424795833333
2018-01-20,213,149.9,388.8659252220453,472.7244635864853,384.13184615384614,270.33504102564103,1096.3656622261856,245.73188097509117,8.662749999999999,10.262847222222222,171.35833333333332,135.6940277777778,0.126122839375,0.18975231444444446,NA,-557.9439326166666
2018-01-21,208,158.9,393.52082656379406,486.7013469795131,375.1146666666667,286.5659641025641,688.6463390111054,342.42085589141624,6.257208333333333,9.33086111111111,142.31416666666667,147.44125,0.15280465720833333,0.18423650301388889,-53.499644499999995,NA
2018-01-22,202,168.2,331.5130732873613,504.35919516392215,364.29405128205127,303.337917948718,925.5583604454316,403.311147541924,7.907541666666667,7.469791666666667,171.67916666666667,144.95152777777778,0.224936598125,0.12042852919444444,3.0773563499999996,NA
2018-01-23,191,177.6,280.64356226509426,516.7587620309479,344.4562564102564,320.2902153846154,468.6143750612828,489.82114894205444,9.251875,7.609166666666666,131.80583333333334,161.7838888888889,0.2329879865,0.16795469823611112,-423.36918000000003,NA
