date,month,site_id,temp,sal,drho,no2,sio2,po4,secchi,fwc,lk_wd,par_b1,tchla,Wan_b1
2018-01-10,1,QCS01,7.84595,31.39995,0.19934050815868432,17.0435041279007,28.5645886635474,1.40240483384882,10,1.6378578110383546,194.0652777777778,0.16879383211111113,0.20722669074887115,NA
2018-01-11,1,KC10,7.018800000000001,30.486400000000003,0.5835064989357193,19.9858376869888,33.8440848738674,1.4472441089258,12,2.3063221078889935,177.1025,0.20252810038285024,0.29416184674569673,94.95
2018-01-12,1,DFO2,7.5696,30.22835,0.9207338246052928,19.5203986552853,32.9963047588137,1.517,9,2.0481509198628007,134.14722222222224,0.2652821208272947,0.1431096489352976,99.3
2018-02-19,2,KC10,6.4089,30.2912,0.5070365130004575,20.35799086523,36.3481591027315,1.65845155007239,15,2.3883411287807923,105.62465277777778,0.6379660015277778,0.20629697342629252,265.6
2018-02-20,2,DFO2,6.7418,29.31445,1.702473778044748,18.6938323353423,33.423152739995,1.464,14,1.6446055503585912,81.66165277777777,0.6366423202222222,0.34183539767760573,230.8
2018-02-21,2,QCS01,6.5036,30.345,0.7074765217284948,18.1442010501826,32.9342756235842,1.45462781510136,12.5,1.805333645151232,64.5158888888889,0.7287341350000001,0.29627000087350597,202
2018-03-24,3,QCS01,7.5246,31.18325,0.43980217103080577,16.7817414181034,32.8640441356687,1.41074740105035,12.5,1.0596460866853763,120.72180555555556,0.6301845072083333,0.8577539502815645,74.62
2018-03-27,3,KC10,7.00165,31.06345,1.0258062320167485,18.7438530491392,34.6824441996889,1.54722887343558,9,1.5712316806984727,173.18541666666667,0.5741433830923913,1.050777685668664,76.17
2018-03-31,3,DFO2,7.57125,27.97505,7.0331304244020885,10.5513680564737,19.0974482198667,0.905,3,2.0511677580293117,196.32861111111112,0.9258475612361111,6.659096245440016,89.4
2018-04-22,4,QCS01,8.6587,31.5551,0.34243013357991003,6.70268838773812,12.1081896588063,0.754075737467918,12,0.6320018709073911,186.79861111111111,0.85069483375,0.9366239367808412,126.4
2018-04-25,4,DFO2,8.713,28.4433,6.155967789149031,3.96029187980396,17.4582985688276,0.425947258360566,6,2.4435703149360783,183.09061111111112,1.640810678472222,5.855954222215904,118.8
2018-04-28,4,KC10,9.17985,30.17845,1.4397211207409557,7.56807559154635,16.6427694830057,0.750911414990346,4,1.597751792952916,193.9934861111111,1.9019881331805555,6.120669703241195,122.1
2018-05-22,5,QCS01,12.2423,30.9559,1.301402251065042,NA,NA,NA,7,0.7973682569379491,192.78375,1.3561284268997584,NA,562.6
2018-05-23,5,KC10,11.2134,29.45365,8.18181493494302,0.0656768525065621,2.13330006673911,0.0431001120783333,3.5,1.534295291549736,185.14236111111111,1.2167965868541235,6.686272018182753,570.1
2018-05-29,5,QCS01,11.1817,31.1393,0.7020003951110994,1.33228695874117,4.41584218476902,0.300077059989726,7.5,0.7337433738696608,203.29166666666666,0.9345681928917748,1.5487427031097991,543
2018-05-30,5,DFO2,9.2187,27.8727,12.12601787668848,8.13298786714879,19.0958813932622,0.672111972005526,3.5,1.693489242282507,228.16306944444443,1.702190244939394,6.814921869770657,526.1
2018-06-19,6,DFO2,9.4239,29.4013,6.9615125153886765,10.8066666958892,16.5034524824275,0.90485478773015,3.5,1.7356657312129724,258.5974027777778,2.4990972851805555,2.7668858707448902,343.2
2018-06-24,6,QCS01,13.4887,30.5897,1.517759093787845,NA,NA,NA,6,0.9827533520424078,227.78155555555554,1.5878795092638889,NA,470.5
2018-06-27,6,KC10,12.4381,29.0245,3.358040261826659,0.0941194479325657,0.427614265700039,0.0339856818662154,5,1.527106329903337,239.28819444444446,1.754345604388889,2.8059276133505757,554.4
2018-07-14,7,QCS01,10.2671,31.0938,1.6660004157620278,8.46413780855588,14.8760545378909,0.710899792298113,4.5,0.46628936700966694,256.90233333333333,2.4013330762777776,NA,484.3
2018-07-15,7,KC10,10.6347,30.2745,3.515719017280162,0.0712811523881344,0,0,5,0.832341752416589,252.6297638888889,2.47772061375,NA,488.3
2018-07-24,7,DFO2,10.26935,29.3778,12.674881293451731,11.0956271085232,21.2418502551465,0.928460594105564,3,1.1195728094792643,280.0766111111111,1.4431389986805556,1.9476126381086072,410.6
2018-08-19,8,KC10,14.3392,28.6314,4.799679812465342,0.154255043806208,7.5578559428211,0.117538116224042,5,0.8958715310258808,232.55434722222222,1.8249974649722223,4.699948736159122,380.8
2018-08-21,8,DFO2,9.95275,30.3434,NA,4.75908716242219,0.980806657131278,0.48318109039381,2,0.7763299033364518,212.9538611111111,1.3239630235972222,4.182723276804136,365.7
2018-08-28,8,QCS01,11.5636,31.2593,1.471124214349402,8.24905985429175,14.6995936233067,0.683727356588254,6,0.2853009042719055,242.38565277777778,1.5369420578333333,6.796630161719779,297.8
2018-09-11,9,KC10,12.2174,30.75235,1.5664757580206017,7.93973029415717,17.1891322318361,0.820044971084654,14,0.7003274087932649,158.41944444444445,0.9103295962916667,0.7450091039890216,258.8
2018-09-13,9,QCS01,12.6966,31.1934,2.035465726547727,7.89409613172151,16.1462262292624,0.75948634503126,12,0.4147224820704712,176.09302777777776,1.008021544869152,2.315790436969701,295.2
2018-09-14,9,DFO2,10.5093,29.720599999999997,9.956271620340374,11.9937298480913,22.3548831373701,1.06124244587019,3.5,1.1652104770813847,169.54487698412697,0.8826895476469299,1.836751315073267,305.2
2018-10-23,10,KC10,9.84,30.6436,1.1060750832972417,11.9474886522859,27.5389605857878,1.1017641916136,11.5,0.6896850639226698,131.602625,0.6505795349861111,1.577840077558261,108.5
