date,site_id,div
2018-01-10,QCS01,1.3924354404794033
2018-01-11,KC10,1.4890590079360475
2018-01-12,DFO2,1.8919932700810194
2018-02-19,KC10,2.146229887280651
2018-03-24,QCS01,2.4731771861288343
2018-03-27,KC10,2.19849461514641
2018-03-31,DFO2,2.0552262871872595
2018-04-22,QCS01,2.4728302902657715
2018-04-25,DFO2,2.2594716551178795
2018-04-28,KC10,1.789563152916956
2018-05-23,KC10,1.472991524532994
2018-05-29,QCS01,2.098904430095819
2018-05-30,DFO2,1.85458511932814
2018-06-19,DFO2,1.3823645053739617
2018-06-27,KC10,1.6484553019399624
2018-07-14,QCS01,1.7398608365718646
2018-07-15,KC10,1.501355842667981
2018-07-24,DFO2,2.0276877135128193
2018-08-19,KC10,1.991118155808079
2018-08-21,DFO2,1.9874911316304413
2018-08-28,QCS01,2.2900666119876667
2018-09-11,KC10,2.0830092386389505
2018-09-13,QCS01,1.9580197225787437
2018-09-14,DFO2,1.9747081965907272
2018-10-23,KC10,2.223664233237576
2018-11-21,KC10,1.777892044664185
2018-11-22,DFO2,1.9638607309378622
2019-01-21,KC10,1.5803878361398906
2019-01-24,DFO2,0.8246694813826849
2019-02-14,KC10,1.2978622446456844
2019-02-19,DFO2,1.3078374324708801
2019-03-13,KC10,1.7916420949098144
2019-03-15,DFO2,1.8084008017977042
2019-04-18,KC10,2.6410921543580725
2019-04-19,DFO2,2.4577265832611244
2019-05-11,KC10,2.1815916102504644
2019-05-13,QCS01,2.5174155406432175
2019-05-14,DFO2,1.7601108118622288
2019-06-09,QCS01,0.7293093756897504
2019-06-10,KC10,2.392140838083882
2019-06-11,DFO2,1.4227905431979655
2019-07-06,DFO2,1.5972058657878152
2019-07-07,QCS01,2.096037587848557
2019-07-10,KC10,2.7936269930883273
2019-08-03,KC10,2.358267661830576
2019-08-05,DFO2,2.173070639187567
2019-08-06,QCS01,2.63364878662368
2019-08-31,QCS01,2.1501192411475967
2019-09-01,KC10,2.1463204436773875
2019-09-02,DFO2,1.0548585393211998
2019-10-01,KC10,2.140617960455643
2019-10-04,DFO2,1.8972857662208238
2019-10-05,QCS01,2.0351457043431336
2019-11-25,DFO2,2.0285460031640326
2019-11-26,KC10,1.9285538286456734
2019-11-28,QCS01,1.9674031463825807
2020-02-11,KC10,1.5089954492557411
2020-02-12,DFO2,1.742660751543162
2020-04-30,KC10,2.2960205367744635
2020-05-01,QCS01,2.7920402845347594
2020-05-04,DFO2,2.01056846202133
2020-06-04,KC10,1.5747922996222166
2020-06-06,DFO2,1.8347109495859315
2020-06-08,QCS01,2.2025232560700645
2020-07-02,KC10,1.1668739824525767
2020-07-05,QCS01,0.8814835087889736
2020-07-06,DFO2,1.9873611273146086
2020-08-07,KC10,2.1943106700706974
2020-08-08,DFO2,0.6646795918946835
2020-09-03,KC10,1.990401292037219
2020-09-04,QCS01,2.268546858048159
2020-09-05,DFO2,1.9120937673595662
2020-10-01,KC10,1.877515819038475
2020-10-02,QCS01,1.9132892836629094
2020-10-04,DFO2,1.389375382374728
2020-11-04,KC10,1.8175631827512126
2020-11-27,KC10,1.9609220981055193
2020-11-30,DFO2,1.9560422572477516
