date,wan_dis,wan_b1,sm_dis,sm_b1,gm_dis,gm_b1,ra_dis,ra_b1,tot_dis,tot_b1,wind_dm,wind_b1,wind_dir_dm,wind_dir_b1,par_dm,par_b1,up_dm,up_b1
2018-01-01,71.5,NA,188.15480541116648,NA,128.94566666666668,NA,22.388319502980742,NA,339.48879158081394,NA,2.756625,NA,77.8425,NA,0.2716330064583333,NA,-81.79954000000001,NA
2018-01-02,69.4,NA,189.59774268874924,NA,125.1584540338761,NA,32.43502085681465,NA,347.19121757944,NA,2.406625,NA,84.74458333333334,NA,0.18443283604166666,NA,-45.38061225,NA
2018-01-03,68.6,NA,222.4679080610985,NA,123.71569981227776,NA,65.27480171672056,NA,411.4584095900968,NA,2.6797083333333336,NA,82.4375,NA,0.1432137775,NA,-32.07241525,NA
2018-01-04,69.6,NA,271.7393888333555,NA,125.51913570971368,NA,78.47570656691848,NA,475.73423110998766,NA,2.899,NA,126.99791666666667,NA,0.091353918625,NA,-77.3802525,NA
2018-01-05,82.4,72.3,889.9962079048275,352.3912105798395,148.60312070054275,130.38841538461537,612.6883168032921,162.2524330893453,1651.2876454086625,645.0320590538001,5.729791666666666,3.29435,164.34583333333333,107.27366666666667,0.078138002291666675,0.15375430818333333,-24.1273865,-52.1520413
2018-01-06,106,79.2,492.5448302053582,413.26921553867777,191.1642051282051,142.83212307692307,293.1145058569705,216.39767036014328,976.823541190534,772.4990089757442,5.239541666666667,3.7909333333333337,158.19166666666666,123.34349999999999,0.056418324416666665,0.11071137177499998,-50.581914250000004,-45.90851615
2018-01-07,114,88.12,331.6323568739271,441.67613837571344,205.5916923076923,158.9187707316863,891.6756573245308,388.2457976536865,1428.8997065061503,988.8407067610863,11.281666666666666,5.565941666666666,138.61083333333335,134.11675,0.17478895775,0.10878259611666667,-351.27969,-107.0883317
2018-01-08,120,98.4,329.4857670945691,463.0797101824075,216.4123076923077,177.4580923076923,1111.717782405562,597.5343937914547,1657.6158571924389,1238.0721962815546,5.627625,6.155525,174.7875,152.58675,0.11175983470833334,0.10249180755833334,5.273723749999999,-99.6191039
2018-01-09,125,109.47999999999999,301.5924126090541,469.0503149375472,225.4294871794872,197.44016260164702,391.4282890228967,660.1249102826505,918.450188811438,1326.6153878218447,2.9840416666666667,6.172533333333333,268.7975,180.94666666666666,0.219832703875,0.12818756460833333,35.27709525,-77.08763435
2018-01-10,123,117.6,249.09709129176684,340.8704916149351,221.82261538461535,212.08406153846153,129.47591306293512,563.4824295345791,600.3956197393173,1116.4369826879758,2.8452083333333333,5.5956166666666665,87.7225,165.622,0.2759917625652174,0.16775831666304347,-1.8273968000000003,-72.62763641000001
2018-01-11,115,119.4,216.94234471970395,285.7499945178043,207.3951282051282,215.33024615384616,79.74342250602736,520.8082128643904,504.0808954308594,1021.8884535360409,6.623958333333333,5.8725000000000005,45.92166666666667,143.168,0.3000218960416667,0.2164790309880435,-97.85647,-82.08254756000001
2018-01-12,108,118.2,207.51740461710423,260.9270040664397,194.77107692307692,213.16612307692307,60.45834644412757,354.5647506883098,462.7468279843088,828.6578778316725,4.8585,4.587866666666667,84.14916666666666,132.27566666666667,0.07665711758333334,0.19685266295471016,-33.092358950000005,-18.445081350000002
2018-01-13,104,115,255.65202727032073,246.16025610159,187.55733333333336,207.39512820512817,140.11952817790277,160.24509984277793,583.3288887815569,613.8004841494961,6.526,4.767541666666666,149.52375,127.22291666666668,0.168009046125,0.2081025052380435,-236.6569075,-66.8312076
2018-01-14,109,111.8,437.95062131443296,273.43189784266576,196.57451282051284,201.6241333333333,76.51043967155839,97.26152997251026,711.0355738065041,572.3175611485093,2.4470833333333335,4.66015,96.03875000000001,92.67116666666666,0.340673443625,0.2322706531880435,-402.9971625,-154.48605915
2018-01-15,126,112.4,559.6526000546951,335.54299959525144,227.2329230769231,202.70619487179488,54.49175572615197,82.26469850515363,841.3772788577703,620.5138929722,5.021416666666667,5.095391666666667,86.6085,92.44836666666666,0.22677379920833332,0.22242706051666666,-290.1162975,-212.14383929
2018-01-16,159,121.2,859.9681860673201,464.1481678647747,286.7463076923077,218.57643076923077,330.8453292486768,132.48507985368352,1477.5598230083044,815.209678487689,9.48625,5.66785,164.68333333333334,116.20070000000001,0.10722469029166666,0.18386761936666668,-206.69774,-233.91209329
2018-01-17,199,139.4,828.2865626115467,588.3019994636632,358.88374358974363,251.3989641025641,636.5511755823682,247.70364568133164,1823.7214817836584,1087.4046092475587,11.458708333333334,6.987891666666667,136.11666666666667,126.5942,0.14267027366666668,0.19707025058333333,-707.58108375,-368.80983825
2018-01-18,229,164.4,727.0524328261988,682.5820805748388,412.98682051282054,296.4848615384616,603.2077416191281,340.32128836957673,1743.2469949581475,1319.3882304828771,11.840416666666666,8.050775,149.78333333333333,126.64611666666667,0.3442285786666667,0.23231415709166664,-875.948615,-496.66817975
2018-01-19,227,188,385.1253650917635,672.0170293303048,409.3799487179488,339.04594871794876,345.9151577120356,394.2022319776721,1140.4204715217477,1405.2652100259259,7.489416666666667,9.059241666666667,121.18208333333334,131.67478333333332,0.082358091,0.18065108656666667,-90.30209909999999,-434.12916707
2018-01-20,213,205.4,388.8659252220453,637.8596943637749,384.13184615384614,370.42573333333337,1096.3656622261856,602.5770132776789,1869.363433602077,1610.862440974787,8.662749999999999,9.787508333333333,171.35833333333332,148.62475,0.126122839375,0.1605208946,NA,NA
