date,wan_dis,wan_b1,sm_dis,sm_b1,gm_dis,gm_b1,ra_dis,ra_b1
2018-01-01,71.5,NA,188.15480541116648,NA,128.94566666666668,NA,22.388319502980742,NA
2018-01-02,69.4,NA,189.59774268874924,NA,125.1584540338761,NA,32.43502085681465,NA
2018-01-03,68.6,NA,222.4679080610985,NA,123.71569981227776,NA,65.27480171672056,NA
2018-01-04,69.6,NA,271.7393888333555,NA,125.51913570971368,NA,78.47570656691848,NA
2018-01-05,82.4,NA,889.9962079048275,NA,148.60312070054275,NA,612.6883168032921,NA
2018-01-06,106,NA,492.5448302053582,NA,191.1642051282051,NA,293.1145058569705,NA
2018-01-07,114,NA,331.6323568739271,NA,205.5916923076923,NA,891.6756573245308,NA
2018-01-08,120,NA,329.4857670945691,NA,216.4123076923077,NA,1111.717782405562,NA
2018-01-09,125,NA,301.5924126090541,NA,225.4294871794872,NA,391.4282890228967,NA
2018-01-10,123,NA,249.09709129176684,NA,221.82261538461535,NA,129.47591306293512,NA
2018-01-11,115,94.95,216.94234471970395,346.6308510973873,207.3951282051282,171.23623846153848,79.74342250602736,362.86743131196215
2018-01-12,108,99.3,207.51740461710423,349.509605028241,194.77107692307692,179.08118461538461,60.45834644412757,368.6029416122668
2018-01-13,104,103.16,255.65202727032073,351.30157122107653,187.55733333333336,186.0424469043047,140.11952817790277,371.4052741709981
2018-01-14,109,106.7,437.95062131443296,354.6199831419987,196.57451282051284,192.42661025641027,76.51043967155839,378.88974681711636
2018-01-15,126,110.64,559.6526000546951,371.2411063901065,227.2329230769231,199.53214796749018,54.49175572615197,378.69322012758033
2018-01-16,159,115,859.9681860673201,338.20674560509326,286.7463076923077,207.3951282051282,330.8453292486768,322.8735640198663
2018-01-17,199,120.3,828.2865626115467,374.9490811912894,358.88374358974363,216.95333846153846,636.5511755823682,326.64664635903694
2018-01-18,229,128.8,727.0524328261988,424.6145017650514,412.98682051282054,232.2825435897436,603.2077416191281,301.1341981848207
2018-01-19,227,139.7,385.1253650917635,464.3711683382144,409.3799487179488,251.93999487179488,345.9151577120356,250.2831941061773
2018-01-20,213,149.9,388.8659252220453,472.7244635864853,384.13184615384614,270.33504102564103,1096.3656622261856,245.73188097509117
2018-01-21,208,158.9,393.52082656379406,486.7013469795131,375.1146666666667,286.5659641025641,688.6463390111054,342.42085589141624
2018-01-22,202,168.2,331.5130732873613,504.35919516392215,364.29405128205127,303.337917948718,925.5583604454316,403.311147541924
2018-01-23,191,177.6,280.64356226509426,516.7587620309479,344.4562564102564,320.2902153846154,468.6143750612828,489.82114894205444
2018-01-24,181,186.3,296.2657289805587,519.2579155304252,326.42189743589745,335.98010769230774,594.7864930267037,522.6706336303924
2018-01-25,172,193.5,259.94116997210944,505.0894262970378,310.19097435897436,348.96484615384617,331.7775907828042,574.4982389659069
2018-01-26,160,198.1,230.29079673232928,475.1182832887792,288.54974358974357,357.2606512820513,428.49797504048234,602.2268224715722
2018-01-27,146,198.2,206.14197799808048,412.15054435528015,263.30164102564106,357.4409948717949,152.83057002544206,611.9920870507527
2018-01-28,137,192.9,248.93005417666592,349.9360858939335,247.07071794871797,347.88278461538465,486.6490809562421,563.6200264950602
2018-01-29,149,183.7,615.3438283279437,302.1238480289802,268.71194871794876,331.2911743589744,1052.3063645867728,551.9641604287715
2018-01-30,174,175.9,465.5139858378441,325.14569435259824,313.79784615384614,317.2243743589744,771.1201907321195,622.6032811162453
2018-01-31,176,172,283.6964174828792,332.81050041417814,317.404717948718,310.19097435897436,680.0920969663324,590.0787339668386
2018-02-01,167,168.8,240.30806344862629,321.8280595060866,301.1737948717949,304.4199794871795,335.4797475815488,589.2233097623614
2018-02-02,165,165.3,377.00420539697234,312.70755852221316,297.5669230769231,298.10795384615386,1469.7145788441792,530.2154484759731
2018-02-03,191,162.7,559.9389154489568,322.34362283540094,344.4562564102564,293.4190205128205,1118.046960088517,630.3254688542627
2018-02-04,271,163.7,1025.5992302605296,348.71094148224074,488.73112820512824,295.2224564102564,2581.298254787708,682.6515155604441
2018-02-05,347,173.6,669.6161401011333,425.27674751108276,625.7922564102564,313.0764717948718,1108.2306429596297,907.6035819609344
2018-02-06,333,192.3,407.0282854788535,469.20928184796315,600.5441538461538,346.8007230769231,465.15242664102186,975.5768487528492
2018-02-07,345,211,756.46460854376,489.2979125960405,622.1853846153847,380.52497435897436,1549.7937810554092,1006.8090344144072
2018-02-08,486,231.8,1194.6021634381425,540.0513680327499,876.4698461538462,418.036441025641,1392.7976952134634,1113.1235044243238
2018-02-09,477,265.5,555.2292313044077,597.9772015437698,860.2389230769231,478.8122307692308,148.0108192208917,1147.172637486993
2018-02-10,406,295.8,369.8695343961393,606.9487260904261,732.1949743589744,533.4563384615385,68.83599250043476,1084.8617003358702
2018-02-11,342,318.8,303.65994558765624,615.5660377817521,616.775076923077,574.9353641025641,44.93047710953833,1023.7360898892804
2018-02-12,288,336.3,266.7589303966299,621.9012259956551,519.3895384615386,606.4954923076923,28.68803139919683,994.6811628420793
2018-02-13,249,348.6,255.8631820590793,610.8766984956209,449.0555384615385,628.6777538461539,406.9349464882934,850.5785080975811
2018-02-14,221,354.4,233.5587396615765,580.4691251566331,398.5593333333333,639.1376820512821,275.2097183892394,779.4673067375587
2018-02-15,195,349.4,213.66321088154757,501.2650760967378,351.6700000000001,630.1205025641026,81.87517482318553,548.8584530977118
2018-02-16,175,334.2,204.5800458238714,455.66978317477924,315.60128205128206,602.7082769230769,123.73996683176104,446.22290628406745
