Date,Watershed_group,Q
2018-01-24T08:00:00Z,Q_RA,594.7864930267037
2018-01-25T08:00:00Z,Q_Total,901.909735113888
2018-01-25T08:00:00Z,Q_GM,310.19097435897436
2018-01-25T08:00:00Z,Q_SM,259.94116997210944
2018-01-25T08:00:00Z,Q_RA,331.7775907828042
2018-01-26T08:00:00Z,Q_Total,947.3385153625551
2018-01-26T08:00:00Z,Q_GM,288.54974358974357
2018-01-26T08:00:00Z,Q_SM,230.29079673232928
2018-01-26T08:00:00Z,Q_RA,428.49797504048234
2018-01-27T08:00:00Z,Q_Total,622.2741890491636
2018-01-27T08:00:00Z,Q_GM,263.30164102564106
2018-01-27T08:00:00Z,Q_SM,206.14197799808048
2018-01-27T08:00:00Z,Q_RA,152.83057002544206
2018-01-28T08:00:00Z,Q_Total,982.6498530816259
2018-01-28T08:00:00Z,Q_GM,247.07071794871797
2018-01-28T08:00:00Z,Q_SM,248.93005417666592
2018-01-28T08:00:00Z,Q_RA,486.6490809562421
2018-01-29T08:00:00Z,Q_Total,1936.3621416326653
2018-01-29T08:00:00Z,Q_GM,268.71194871794876
2018-01-29T08:00:00Z,Q_SM,615.3438283279437
2018-01-29T08:00:00Z,Q_RA,1052.3063645867728
2018-01-30T08:00:00Z,Q_Total,1550.43202272381
2018-01-30T08:00:00Z,Q_GM,313.79784615384614
2018-01-30T08:00:00Z,Q_SM,465.5139858378441
2018-01-30T08:00:00Z,Q_RA,771.1201907321195
2018-01-31T08:00:00Z,Q_Total,1281.1932323979297
2018-01-31T08:00:00Z,Q_GM,317.404717948718
2018-01-31T08:00:00Z,Q_SM,283.6964174828792
2018-01-31T08:00:00Z,Q_RA,680.0920969663324
2018-02-01T08:00:00Z,Q_Total,876.96160590197
2018-02-01T08:00:00Z,Q_GM,301.1737948717949
2018-02-01T08:00:00Z,Q_SM,240.30806344862629
2018-02-01T08:00:00Z,Q_RA,335.4797475815488
2018-02-02T08:00:00Z,Q_Total,2144.285707318075
2018-02-02T08:00:00Z,Q_GM,297.5669230769231
2018-02-02T08:00:00Z,Q_SM,377.00420539697234
2018-02-02T08:00:00Z,Q_RA,1469.7145788441792
2018-02-03T08:00:00Z,Q_Total,2022.44213194773
2018-02-03T08:00:00Z,Q_GM,344.4562564102564
2018-02-03T08:00:00Z,Q_SM,559.9389154489568
2018-02-03T08:00:00Z,Q_RA,1118.046960088517
2018-02-04T08:00:00Z,Q_Total,4095.628613253366
2018-02-04T08:00:00Z,Q_GM,488.73112820512824
2018-02-04T08:00:00Z,Q_SM,1025.5992302605296
