Date,Station,run,Cyanobacteria,Pelago,Hapto,Prasinophytes-2,Prasinophytes-3,Cryptophytes,Dinoflagellates-1,Raphido,Diatoms-1
7/10/2019,KC10,2,0.048960666,0,0.074592438,0.069429489,2.58687E-05,0.089574171,0.266510462,0.156062238,0.896840026
8/3/2019,KC10,2,0.128821998,0,0.121923933,0.113931188,0.162254305,0.255078569,0.156843536,0.17425701,0.50880299
9/1/2019,KC10,2,0.158636586,0.069431717,0.216113391,0.431557978,0.308718453,0.642177035,0.569636524,1.458784978,0.469560303
10/1/2019,KC10,2,0.048832382,0.035136038,0.028522691,0.077427735,0.116059686,0.128536094,0.105762467,0.239405649,0.035058328
4/30/2020,KC10,2,0.008991013,0.114154163,0.001114566,0,0.163209324,0.13599418,0.364228522,0,8.478691419
6/4/2020,KC10,2,0.062298837,0.045084603,0,0.144551421,0.095717994,0.23999581,0.214836595,0,1.964407941
7/2/2020,KC10,2,0.137989738,0.00690726,0.001546609,0.236702944,0.000910249,0.368478755,0.249377474,0,4.69013985
8/7/2020,KC10,2,0.047243335,0.062143117,0.069407061,0.087692102,0.001806452,0.140761623,0.189767083,0.198361958,2.402616501
9/3/2020,KC10,2,0.049704677,0.046047394,0.057832344,0.122091405,0.156032293,0.173732959,0.143931538,0,0.772653083
10/1/2020,KC10,2,0.029435679,0.045386813,0.04440914,0.143585666,0.104395988,0.189340485,0.3099944,0,0.998390863
5/13/2019,QCS01,2,0.371309598,0.006263518,0,0.262185343,0.000682606,0.333038027,0,0,11.18391689
6/9/2019,QCS01,2,0.041713185,0,0.103219283,0.083280517,0.133438352,0.111053911,0.20988628,0.168463866,1.935914059
7/7/2019,QCS01,2,0.096862968,0,0.238831503,0.192100535,0.000470972,0.226084381,0.509520983,0.198508831,3.296423713
8/6/2019,QCS01,2,0.155265205,0,0.430889621,0.093417613,0.440891353,0.251951662,0.580680673,0.251707527,3.009603779
8/31/2019,QCS01,2,0.092524252,0.383801982,0.422275643,0.469410638,0.272223818,0.754594823,0.888969421,0.781732132,0.761222283
10/5/2019,QCS01,2,0.050385083,0.156298154,0.23062742,0.066957105,0.141880763,0.226730776,0.222110858,0.194222728,0.642854045
5/1/2020,QCS01,2,0,0.105784835,0.001221299,0.109156622,0.001632027,0.108510287,0.28999344,0,4.421476126
6/8/2020,QCS01,2,0.042052079,0.036347233,0.046850281,0.109146881,0.130504208,0.159455607,0.213886132,0,1.627788007
7/5/2020,QCS01,2,0.114227731,0.076206081,0.000728513,0.168660813,0.202304563,0.210826968,0.221535901,0.126070676,2.868047873
9/4/2020,QCS01,2,0.262617526,0.149425132,0.234814512,0.224093092,0.376585476,0.323776454,0.208186184,0.349568988,0.04568633
10/2/2020,QCS01,2,0.027839866,0.04789298,0.038082009,0.050482299,0.110850837,0.085060007,0.149484648,0,0.306002527
