date,site_id,Cyanobacteria,Hapto,Prasinophytes-3,Cryptophytes,Dinoflagellates-1,Raphido,Dictyo,Diatoms-1
2021-03-14,KC10,0,0,0.064695373,0.224116621,0.008205026,0.002218718,0.001431564,0.148890297
2021-04-10,KC10,0.009104177,0.014970172,0.237544668,2.151928802,0.185435792,0,0.240322411,6.336128394
2021-05-06,KC10,0.007373327,0.039676762,0.032485122,0.515213827,0.048191119,0,0.022474335,1.293657819
2021-06-05,KC10,0.010042501,0.00658968,0.029240349,0.855619331,0.285314433,0,0.06844547,3.112204631
2021-07-04,KC10,0.000656918,0.00593645,0.054066629,0.493300036,0.038433202,0,0.011854745,1.28200831
2021-08-05,KC10,0.016805608,0.002827989,0.04782898,0.479233747,0.641879946,0,0.013479015,1.305441558
2021-09-05,KC10,0.000119721,0.039548353,0.026091118,0.117715013,3.625905752,0,0.577727363,0
2021-10-08,KC10,0,0,0.085398126,0.279935273,0.123682989,0,0,0.036619593
2021-11-05,KC10,0,0.04673665,0.08543298,0.225589621,0.048089645,0.002491407,0,0.023323688
2022-01-14,KC10,0,0.02911989,0.055708989,0,0,0.089082267,0.061268978,0
2022-02-05,KC10,0.015003303,0.043559446,0.069440233,0.049488712,0,0.078972017,0.104173832,0
2022-03-09,KC10,0.096621116,0.055314648,0.060536349,3.58846883,0.501291009,0.285545118,0.664086302,14.0957133
2022-04-10,KC10,0.004752019,0.036983896,0.011365857,0.167610141,0.010520668,0,0,0.247298248
2022-05-05,KC10,0.015977314,0.008605665,0.057305802,0.826043477,0.173891526,0,0.128155113,3.595135967
2022-06-03,KC10,0.007856345,0.229717836,0.179242425,0.582118327,0.516921505,0.044869064,0.244714168,0.09407086
2022-07-03,KC10,0.001321752,0.005084967,0.086974967,0.946324309,0.876864642,0,0.025207923,2.43299675
2022-07-28,KC10,0.044156166,0.018413891,0.186367986,1.378323356,5.372114897,0,0.024010738,6.132946094
2022-09-09,KC10,0.0419606,0.145870972,0.208621413,0.686356415,0.044833026,0.004007629,0,0.056602355
2022-10-13,KC10,0.016013357,0.028674661,0.104986265,0.701926013,0.07438096,0.000683387,0.039871466,0.459827329
2019-05-13,QCS01,0.409205392,0.001916209,0.076406196,0.4506299,0,0,0.015133916,11.20410442
2019-06-09,QCS01,0.043610806,0.158320213,0.105280767,0.142780128,0.209499789,0.105905092,0,2.02157263
2019-07-07,QCS01,0.104081873,0.361626352,0.05833809,0.290663267,0.499930978,0.133702697,0,3.310460647
2019-08-06,QCS01,0.168007116,0.664121976,0.293383578,0.326621975,0.580680554,0.131873482,0,3.049718618
2019-08-31,QCS01,0.086887219,0.623383373,0.29078051,0.923750957,0.84920456,0.622190426,1.390152335,0.040405706
2019-10-05,QCS01,0.051349259,0.340168402,0.098778324,0.277051846,0.211314018,0.144313149,0.564207703,0.244884158
2019-11-28,QCS01,0.001926142,0.023816471,0.039005407,0.047004915,0.080953855,0.091249729,0,0.012903342
2020-05-01,QCS01,0,0.002229859,0.030595327,0.139493436,0.282706251,0,0.418381572,4.164368073
2020-06-08,QCS01,0.044088342,0.071806698,0.107674697,0.204651917,0.212825581,0,0.145272185,1.579711
2020-07-05,QCS01,0.121945936,0.001599394,0.168680497,0.273557054,0.218625084,0.057263882,0.29980203,2.847135107
2020-09-04,QCS01,0.278752444,0.347734764,0.286106924,0.375225415,0.190042925,0.234491207,0.462399965,0
2020-10-02,QCS01,0.028844503,0.058203399,0.079068425,0.108891337,0.147162779,0,0.182382179,0.211142533
